Waveform Data,,Waveform Data,
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,8
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,4
-1.90E-06,0.72,-1.90E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.89E-06,0.72,-1.89E-06,4
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,8
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,8
-1.88E-06,0.72,-1.88E-06,4
-1.88E-06,0.72,-1.88E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.64,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.87E-06,0.72,-1.87E-06,4
-1.86E-06,0.72,-1.86E-06,4
-1.86E-06,0.72,-1.86E-06,8
-1.86E-06,0.72,-1.86E-06,4
-1.86E-06,0.72,-1.86E-06,8
-1.86E-06,0.72,-1.86E-06,4
-1.86E-06,0.72,-1.86E-06,4
-1.86E-06,0.72,-1.86E-06,4
-1.86E-06,0.64,-1.86E-06,4
-1.86E-06,0.72,-1.86E-06,4
-1.86E-06,0.64,-1.86E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.64,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.85E-06,0.72,-1.85E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.84E-06,0.72,-1.84E-06,4
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,8
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.64,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,4
-1.83E-06,0.72,-1.83E-06,8
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.82E-06,0.72,-1.82E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,8
-1.81E-06,0.72,-1.81E-06,4
-1.81E-06,0.72,-1.81E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
-1.80E-06,0.72,-1.80E-06,4
